datetime,Open,High,Low,Close,Volume
27.08.2019 14:00:00.000,206.947,207.158,205.478,205.638,12.2335
27.08.2019 15:00:00.000,205.648,205.868,204.237,204.768,11.6347
27.08.2019 16:00:00.000,204.767,205.048,203.668,203.728,10.87
27.08.2019 17:00:00.000,203.727,205.258,203.527,205.118,8.0608
27.08.2019 18:00:00.000,205.117,205.558,204.387,205.448,7.2101
27.08.2019 19:00:00.000,205.468,205.978,204.078,204.118,11.3104
28.08.2019 13:00:00.000,204.143,205.218,203.317,204.878,9.2648
28.08.2019 14:00:00.000,204.898,205.448,204.278,204.938,13.3562
28.08.2019 15:00:00.000,204.937,205.678,204.478,205.307,11.0765
28.08.2019 16:00:00.000,205.307,205.338,204.758,205.018,5.5738
28.08.2019 17:00:00.000,205.027,205.138,204.348,204.798,4.7066
28.08.2019 18:00:00.000,204.818,205.398,204.588,205.318,5.0935
28.08.2019 19:00:00.000,205.318,205.698,204.887,205.510,8.0954
29.08.2019 13:00:00.000,208.458,209.218,208.120,208.253,24.2193
29.08.2019 14:00:00.000,208.253,208.297,206.658,207.798,47.6208
29.08.2019 15:00:00.000,207.787,208.242,207.527,208.048,36.7457
29.08.2019 16:00:00.000,208.030,208.891,207.887,208.527,28.3118
29.08.2019 17:00:00.000,208.531,208.888,208.427,208.868,30.65
29.08.2019 18:00:00.000,208.877,209.301,208.407,208.558,35.21
29.08.2019 19:00:00.000,208.573,209.087,208.267,209.053,41.15
30.08.2019 13:00:00.000,209.977,210.397,209.207,209.348,21.27
30.08.2019 14:00:00.000,209.337,209.760,208.377,208.672,43.5
30.08.2019 15:00:00.000,208.687,208.830,207.198,207.940,49.93
30.08.2019 16:00:00.000,207.962,208.048,207.341,207.811,42.34
30.08.2019 17:00:00.000,207.808,207.928,207.368,207.680,40.765
30.08.2019 18:00:00.000,207.681,208.051,207.419,207.627,43.7775
30.08.2019 19:00:00.000,207.637,208.548,207.187,208.327,82.14
03.09.2019 13:00:00.000,206.187,206.968,205.817,206.667,74.16
03.09.2019 14:00:00.000,206.648,206.648,204.207,205.398,152.79
03.09.2019 15:00:00.000,205.398,205.737,204.517,205.267,134.9
03.09.2019 16:00:00.000,205.268,205.368,204.717,204.877,93.52
03.09.2019 17:00:00.000,204.877,205.047,204.448,204.617,92.83
03.09.2019 18:00:00.000,204.618,205.558,204.587,205.388,82.49
03.09.2019 19:00:00.000,205.387,206.078,205.158,205.748,133.2875
04.09.2019 13:00:00.000,208.348,208.698,207.537,207.718,88.185
04.09.2019 14:00:00.000,207.718,207.968,207.318,207.848,165.0375
04.09.2019 15:00:00.000,207.848,208.438,207.737,208.248,115.8575
04.09.2019 16:00:00.000,208.248,208.938,207.677,208.847,104.4025
04.09.2019 17:00:00.000,208.847,209.458,208.757,208.878,95.8
04.09.2019 18:00:00.000,208.878,209.258,208.788,209.038,87.355
04.09.2019 19:00:00.000,209.048,209.448,208.988,209.168,119.05
05.09.2019 13:00:00.000,211.967,213.737,211.938,213.088,120
05.09.2019 14:00:00.000,213.078,213.948,212.577,212.828,218.265
05.09.2019 15:00:00.000,212.828,213.238,212.407,212.408,166.885
05.09.2019 16:00:00.000,212.408,212.678,212.097,212.197,115.325
05.09.2019 17:00:00.000,212.197,212.438,211.507,212.187,108.9925
05.09.2019 18:00:00.000,212.188,213.108,212.027,213.088,101.6525
05.09.2019 19:00:00.000,213.087,213.398,212.707,213.118,122.515
06.09.2019 13:00:00.000,214.107,214.398,212.867,213.037,160.245
06.09.2019 14:00:00.000,213.058,213.348,212.498,213.067,213.9825
06.09.2019 15:00:00.000,213.068,213.348,212.527,212.688,142.38
06.09.2019 16:00:00.000,212.688,213.118,212.518,213.088,131.38
06.09.2019 17:00:00.000,213.088,213.938,213.067,213.867,132.64
06.09.2019 18:00:00.000,213.878,213.918,213.497,213.617,94.805
06.09.2019 19:00:00.000,213.627,213.978,213.078,213.297,126.3925
09.09.2019 13:00:00.000,214.748,216.018,214.388,215.198,136.55
09.09.2019 14:00:00.000,215.197,215.468,214.628,215.318,209.335
09.09.2019 15:00:00.000,215.318,216.428,215.177,216.328,151.925
09.09.2019 16:00:00.000,216.328,216.378,214.228,215.118,190.8475
09.09.2019 17:00:00.000,215.127,215.188,213.827,214.568,138.85
09.09.2019 18:00:00.000,214.558,214.558,213.857,214.277,147.0675
09.09.2019 19:00:00.000,214.278,214.888,214.047,214.317,129.155
10.09.2019 13:00:00.000,213.798,214.518,211.678,213.208,122.55
10.09.2019 14:00:00.000,213.198,213.588,212.728,213.037,201.2025
10.09.2019 15:00:00.000,213.038,214.388,213.008,213.938,159.9075
10.09.2019 16:00:00.000,213.938,214.618,213.278,214.408,126.21
10.09.2019 17:00:00.000,214.418,215.778,213.398,213.788,134.1476
10.09.2019 18:00:00.000,213.787,214.778,213.157,214.258,121.09
10.09.2019 19:00:00.000,214.258,216.628,214.247,216.628,119.4275
11.09.2019 13:00:00.000,217.835,220.768,217.698,220.068,133.36
11.09.2019 14:00:00.000,220.087,220.828,219.838,220.368,142.85
11.09.2019 15:00:00.000,220.378,222.488,220.168,222.198,112.26
11.09.2019 16:00:00.000,222.207,222.988,222.067,222.648,86.905
11.09.2019 17:00:00.000,222.657,223.147,222.107,222.388,73.19
11.09.2019 18:00:00.000,222.407,222.588,221.708,222.268,65.59
11.09.2019 19:00:00.000,222.267,223.598,222.237,223.507,96.895
12.09.2019 13:00:00.000,224.727,225.698,222.997,224.218,83.2475
12.09.2019 14:00:00.000,224.257,226.357,223.817,224.438,87.6875
12.09.2019 15:00:00.000,224.427,225.848,224.327,225.768,81.2825
12.09.2019 16:00:00.000,225.768,225.798,225.037,225.468,87.8975
12.09.2019 17:00:00.000,225.478,225.857,224.898,225.088,83.2775
12.09.2019 18:00:00.000,225.097,225.308,224.648,224.977,78.095
12.09.2019 19:00:00.000,224.978,224.988,222.867,223.147,112.005
13.09.2019 13:00:00.000,219.018,220.768,218.817,219.818,107.1225
13.09.2019 14:00:00.000,219.798,219.858,218.348,218.848,199.755
13.09.2019 15:00:00.000,218.848,219.268,218.197,218.198,133.735
13.09.2019 16:00:00.000,218.197,218.488,217.067,217.828,126.3925
13.09.2019 17:00:00.000,217.828,218.078,217.017,217.208,97.815
13.09.2019 18:00:00.000,217.207,219.798,217.197,219.518,136.11
13.09.2019 19:00:00.000,219.518,219.537,218.357,218.568,136.7225
16.09.2019 13:00:00.000,217.558,219.828,217.527,219.688,93.56
16.09.2019 14:00:00.000,219.687,219.728,218.178,218.908,180.085
16.09.2019 15:00:00.000,218.918,220.108,218.877,219.028,162.3775
16.09.2019 16:00:00.000,219.018,219.458,218.878,219.108,99.2575
16.09.2019 17:00:00.000,219.118,220.068,219.007,219.988,72.5325
16.09.2019 18:00:00.000,219.998,220.088,219.557,219.738,77.6875
16.09.2019 19:00:00.000,219.748,220.048,219.528,219.888,112.295
17.09.2019 13:00:00.000,219.898,220.568,219.097,219.368,88.24
17.09.2019 14:00:00.000,219.387,220.108,219.237,219.758,118.49
17.09.2019 15:00:00.000,219.748,220.588,219.738,220.197,102.8675
17.09.2019 16:00:00.000,220.208,220.318,219.547,219.917,73.265
17.09.2019 17:00:00.000,219.918,220.308,219.897,219.978,55.91
17.09.2019 18:00:00.000,219.987,220.188,219.797,220.017,68.405
17.09.2019 19:00:00.000,220.018,220.808,219.897,220.648,69.905
18.09.2019 14:00:00.000,221.978,222.508,221.887,222.148,89.11
18.09.2019 15:00:00.000,222.158,222.278,221.698,221.847,64.535
18.09.2019 16:00:00.000,221.848,221.958,221.147,221.178,56.98
18.09.2019 17:00:00.000,221.168,221.318,220.588,221.068,66.255
18.09.2019 18:00:00.000,221.158,221.738,219.428,220.798,151.1025
18.09.2019 19:00:00.000,220.797,222.828,220.668,222.708,141.0925
19.09.2019 13:00:00.000,222.128,223.218,222.028,222.917,72.385
19.09.2019 14:00:00.000,222.898,223.758,222.567,223.247,107.1225
19.09.2019 15:00:00.000,223.247,223.388,221.947,222.157,86.27
19.09.2019 16:00:00.000,222.157,222.288,220.757,221.358,79.23
19.09.2019 17:00:00.000,221.368,221.687,220.368,221.578,98.91
19.09.2019 18:00:00.000,221.577,221.718,220.738,221.058,74.6875
19.09.2019 19:00:00.000,221.068,221.478,220.738,220.858,113.1525
20.09.2019 13:00:00.000,221.448,222.528,221.447,221.888,73.145
20.09.2019 14:00:00.000,221.887,222.428,221.578,221.938,135.0275
20.09.2019 15:00:00.000,221.938,222.108,220.847,221.117,125.4025
20.09.2019 16:00:00.000,221.118,221.218,220.087,220.258,97.0625
20.09.2019 17:00:00.000,220.268,220.578,217.468,218.498,169.23
20.09.2019 18:00:00.000,218.498,219.958,218.278,219.427,165.7775
20.09.2019 19:00:00.000,219.427,219.778,217.628,217.668,153.62
23.09.2019 13:00:00.000,218.858,219.448,218.107,218.528,96.0375
23.09.2019 14:00:00.000,218.547,218.728,217.647,218.098,181.98
23.09.2019 15:00:00.000,218.097,219.108,218.048,218.718,144.48
23.09.2019 16:00:00.000,218.718,219.218,218.548,218.757,77.9425
23.09.2019 17:00:00.000,218.747,219.368,218.567,219.238,79.5275
23.09.2019 18:00:00.000,219.258,219.738,219.157,219.388,63.4375
23.09.2019 19:00:00.000,219.398,219.828,218.577,218.718,80.1275
24.09.2019 13:00:00.000,220.998,222.458,220.718,221.858,94.7325
24.09.2019 14:00:00.000,221.867,221.888,220.097,220.677,223.545
24.09.2019 15:00:00.000,220.678,220.887,218.738,219.108,152.1825
24.09.2019 16:00:00.000,219.117,219.808,217.297,217.487,165.5975
24.09.2019 17:00:00.000,217.468,218.268,217.208,217.708,158.1925
24.09.2019 18:00:00.000,217.708,219.678,217.398,218.318,125.0975
24.09.2019 19:00:00.000,218.318,218.648,217.547,217.757,168.18
25.09.2019 13:00:00.000,218.538,219.628,217.747,217.988,90.5775
25.09.2019 14:00:00.000,217.988,220.048,217.137,219.488,289.14
25.09.2019 15:00:00.000,219.498,220.538,219.308,220.238,179.0325
25.09.2019 16:00:00.000,220.248,220.908,219.938,220.147,143.78
25.09.2019 17:00:00.000,220.138,220.528,219.837,220.497,105.2425
25.09.2019 18:00:00.000,220.497,220.888,219.988,220.538,111.86
25.09.2019 19:00:00.000,220.538,221.478,220.417,221.047,106.2225
26.09.2019 13:00:00.000,219.888,220.028,218.817,219.198,92.6675
26.09.2019 14:00:00.000,219.208,220.808,219.098,220.037,199.13
